RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
18688225	15:00:43:428	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1441.5	555.6	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688233.3	15:00:43:437	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1359.9	605.2	-	0.3	0.2	-0.9	-	-	-	-	-	-	-	-
18688250	15:00:43:453	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1424.2	558.6	-	0.4	0.3	-0.9	-	-	-	-	-	-	-	-
18688258.4	15:00:43:462	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	1244.9	666.2	-	0.3	0.2	-0.9	-	-	-	-	-	-	-	-
18688266.7	15:00:43:470	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.7	847.1	786.1	-	0	0.1	-1	-	-	-	-	-	-	-	-
18688275	15:00:43:478	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.7	735.8	795.8	-	0	0.1	-1	-	-	-	-	-	-	-	-
18688283.3	15:00:43:487	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.7	441.5	823.9	-	-0.1	0.2	-1	-	-	-	-	-	-	-	-
18688300.2	15:00:43:504	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.7	905.4	286.4	-	0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688309	15:00:43:513	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.6	709.5	437.2	-	-0.1	0.4	-0.9	-	-	-	-	-	-	-	-
18688316.7	15:00:43:520	Trial001	Noun_Practice.avi	0	14132.6	OH103	Crimson	22	Eye	Saccade	1	5.7	846	409.8	-	0.2	0.5	-0.8	-	-	-	-	-	-	-	-
